Name,Price,Link
Graphics HD7450 2GB GDDR3 64 Bit PCIE 2.0 HDMI-Compatible+VGA+DVI Interface Video Card with Cooling Fan,55.99,https://www.newegg.com/p/27N-0074-00008?Item=9SIB601HAJ4518&Description=graphics card&cm_re=graphics_card-_-9SIB601HAJ4518-_-Product&cm_sp=SP-_-1194038-_-0-_-0-_-9SIB601HAJ4518-_-graphics card-_-card|graphic-_-1
MSI Video NVIDIA GeForce GTX 730 2GB DDR3 PCI Express 2.0 Graphics Card,82.68,https://www.walmart.comhttps://wrd.walmart.com/track?rdf=1&adUid=430dc5bc-f67a-4077-ac8b-724c990e5b3f&plmt=sp-search-middle~desktop~&tax=3944_3951_1073804_1043744&pltfm=desktop&eventST=click&pgId=graphics%20card&spQs=esU8-2Cgz2ELjhvj80GSzXNXssODUQ4Ebrc2V7Evynv4ooxRXW4I2Cws-eV5nuqNDM0H7d_NXi8tGisMX24oZTeO8cy_eb6XaMafAU1M230N7t_R9bKIo19w7KOdOoqj_yh9AYrbQm04BJfr6mJqRcpFibgPqM9BLR8fkwcWOPs&storeId=1507&pt=search&pos=1&bt=1&mloc=sp-search-middle&bkt=2572&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FMSI-Video-NVIDIA-GeForce-GTX-730-2GB-DDR3-PCI-Express-2-0-Graphics-Card%2F48592760%3FfulfillmentIntent%3DShipping&fulfillmentIntent=Shipping
Yeston Radeon RX 550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Double slot DP+HDMI compatible +DVI-D graphics card of Desktop,139.0,https://www.newegg.com/yeston-radeon-rx-550-rx550-4gd5-td/p/27N-0042-000D1?Item=9SIAZUEG9H5905&Description=graphics card&cm_re=graphics_card-_-9SIAZUEG9H5905-_-Product&cm_sp=SP-_-992793-_-0-_-3-_-9SIAZUEG9H5905-_-graphics card-_-card|graphic-_-20
Graphics Card GTX 750 4GB 128Bit 5012mhz GDDR5 video card VGA Cards For  Geforce Game stronger than R7 350 2GB,154.99,https://www.newegg.com/p/1FT-00FX-00019?Item=9SIB601GWR7787&Description=graphics card&cm_re=graphics_card-_-9SIB601GWR7787-_-Product&cm_sp=SP-_-996084-_-0-_-0-_-9SIB601GWR7787-_-graphics card-_-card|graphic-_-6
PNY - NVIDIA GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 Graphics Card with Dual Fan - Black,179.99,https://bestbuy.com/site/pny-nvidia-geforce-gtx-1650-4gb-gddr6-pci-express-3-0-graphics-card-with-dual-fan-black/6502683.p?skuId=6502683
MSI - AMD Radeon RX 6500 XT Mech 2X 4G OC - 4GB GDDR6 - PCI Express 4.0 - Graphics Card,182.99,https://bestbuy.com/site/msi-amd-radeon-rx-6500-xt-mech-2x-4g-oc-4gb-gddr6-pci-express-4-0-graphics-card/6497196.p?skuId=6497196
ASUS Dual Radeon RX 6400 Graphics Card,184.99,https://www.walmart.com/ip/ASUS-Dual-Radeon-RX-6400-Graphics-Card/684691930?fulfillmentIntent=Shipping
PNY GeForce GTX 1660 SUPER 6GB Dual Fan Graphics Card,209.99,https://www.walmart.com/ip/PNY-GeForce-GTX-1660-SUPER-6GB-Dual-Fan-Graphics-Card/497734864?fulfillmentIntent=Shipping
MSI Ventus GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER VENTUS XS OC,229.99,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-ventus-xs-oc/p/N82E16814137475?Description=graphics card&cm_re=graphics_card-_-14-137-475-_-Product
ASUS GeForce GTX 1650 Overclocked 4GB Dual-fan Edition HDMI DP 1.4 DVI Graphics Card (DUAL-GTX1650-O4G),237.0,https://www.newegg.com/asus-geforce-gtx-1650-dual-gtx1650-o4g/p/N82E16814126321?Description=graphics card&cm_re=graphics_card-_-14-126-321-_-Product
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",249.99,https://www.amazon.com/EVGA-06G-P4-2068-KR-GeForce-Gaming-Backplate/dp/B083GGYNQ6/ref=sr_1_20?keywords=graphics+card&qid=1661963102&sr=8-20
"EVGA GeForce RTX 2060 KO GAMING Video Card, 06G-P4-2066-KR, 6GB GDDR6, Dual Fans, Metal Backplate",249.99,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2066-kr/p/N82E16814487488?Description=graphics card&cm_re=graphics_card-_-14-487-488-_-Product
"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",250.82,https://www.amazon.com/XFX-Speedster-Radeon-Graphics-RX-66XL8LFDQ/dp/B09HHLX543/ref=sr_1_11?keywords=graphics+card&qid=1661963102&sr=8-11
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super VENTUS XS OC),252.98,https://www.amazon.com/MSI-GeForce-192-bit-Support-Graphics/dp/B07ZHDZ1K6/ref=sr_1_10?keywords=graphics+card&qid=1661963102&sr=8-10
"EVGA 6GB GeForce RTX 2060 KO Ultra Gaming Dual Fans Graphics Card, Black",259.99,https://www.walmart.com/ip/EVGA-6GB-GeForce-RTX-2060-KO-Ultra-Gaming-Dual-Fans-Graphics-Card-Black/570613186?fulfillmentIntent=Shipping
ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,259.99,https://www.newegg.com/asrock-radeon-rx-6600-rx6600-cld-8g/p/N82E16814930066?Description=graphics card&cm_re=graphics_card-_-14-930-066-_-Product
Yeston Radeon RX 6500 XT 4GB D6 GDDR6 6nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 1*DP+1*HDMI-compatible  graphics card,269.0,https://www.newegg.com/yeston-radeon-rx-6500-xt-rx6500xt-4g-d6-ga/p/27N-0042-000G4?Item=9SIAZUEHCM9085&Description=graphics card&cm_re=graphics_card-_-9SIAZUEHCM9085-_-Product&cm_sp=SP-_-992793-_-0-_-2-_-9SIAZUEHCM9085-_-graphics card-_-card|graphic-_-17
XFX - SPEEDSTER SWFT210 AMD Radeon RX 6600 Core 8GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,269.99,https://bestbuy.com/site/xfx-speedster-swft210-amd-radeon-rx-6600-core-8gb-gddr6-pci-express-4-0-gaming-graphics-card-black/6495949.p?skuId=6495949
XFX SPEEDSTER SWFT 210 Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX-66XL8LFDQ,269.99,https://www.newegg.com/xfx-radeon-rx-6600-rx-66xl8lfdq/p/N82E16814150864?Description=graphics card&cm_re=graphics_card-_-14-150-864-_-Product
MSI Mech Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX 6600 MECH 2X 8G,269.99,https://www.newegg.com/msi-radeon-rx-6600-mech-2x-8g/p/N82E16814137690?Description=graphics card&cm_re=graphics_card-_-14-137-690-_-Product
"GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 128-bit GDDR6, GV-R66EAGLE-8GD Video Card",274.99,https://www.newegg.com/gigabyte-radeon-rx-6600-gv-r66eagle-8gd/p/N82E16814932481?Description=graphics card&cm_re=graphics_card-_-14-932-481-_-Product
"GIGABYTE GeForce RTX 3050 EAGLE OC 8G Graphics Card, 2x WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050EAGLE OC-8GD Video Card",289.99,https://www.newegg.com/gigabyte-geforce-rtx-3050-gv-n3050eagle-oc-8gd/p/N82E16814932498?Description=graphics card&cm_re=graphics_card-_-14-932-498-_-Product
"EVGA GeForce RTX 2060 12GB XC Gaming, 12G-P4-2263-KR, 12GB GDDR6,Dual Fans, Metal Backplate",299.94,https://www.amazon.com/EVGA-GeForce-Gaming-12G-P4-2263-KR-Backplate/dp/B09NQ99NSR/ref=sr_1_3?keywords=graphics+card&qid=1661963102&sr=8-3
MSI Ventus GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card RTX 3050 Ventus 2X 8G OC,299.99,https://www.newegg.com/msi-geforce-rtx-3050-rtx-3050-ventus-2x-8g-oc/p/N82E16814137708?Description=graphics card&cm_re=graphics_card-_-14-137-708-_-Product
MSI Gaming GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card RTX 3050 Gaming X 8G,319.99,https://www.newegg.com/msi-geforce-rtx-3050-rtx-3050-gaming-x-8g/p/N82E16814137707?Description=graphics card&cm_re=graphics_card-_-14-137-707-_-Product
"ZOTAC Gaming GeForce RTX 3050 Twin Edge OC 8GB GDDR6 128-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Freeze Fan Stop, Active Fan Control, ZT-A30500H-10M",329.99,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30500H-10M/dp/B09R2NWCV1/ref=sr_1_4?keywords=graphics+card&qid=1661963102&sr=8-4
PNY - NVIDIA GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Graphics Card with Dual Fan - Black,329.99,https://bestbuy.com/site/pny-nvidia-geforce-rtx-3050-8gb-gddr6-pci-express-4-0-graphics-card-with-dual-fan-black/6510164.p?skuId=6510164
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",332.99,https://www.amazon.com/GIGABYTE-Graphics-WINDFORCE-GV-N3050GAMING-OC-8GD/dp/B09QVPMGYV/ref=sr_1_19?keywords=graphics+card&qid=1661963102&sr=8-19
"GIGABYTE GeForce RTX 3050 GAMING OC 8G Graphics Card, 3x WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",334.99,https://www.newegg.com/gigabyte-geforce-rtx-3050-gv-n3050gaming-oc-8gd/p/N82E16814932496?Description=graphics card&cm_re=graphics_card-_-14-932-496-_-Product
MSI RTX 3050 Gaming X 8G GDDR6 PCI Express Gen 4 128-bit DisplayPort X 3 HDMI X 1 Dual Fan Gaming Graphics Card,339.99,https://www.walmart.com/ip/MSI-RTX-3050-Gaming-X-8G-GDDR6-PCI-Express-Gen-4-128-bit-DisplayPort-X-3-HDMI-X-1-Dual-Fan-Gaming-Graphics-Card/967461605?fulfillmentIntent=Shipping
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),340.0,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126349?Description=graphics card&cm_re=graphics_card-_-14-126-349-_-Product
"ASUS Dual GeForce RTX 2060 EVO OC Edition Graphics Card (PCIe 3.0, 12GB GDDR6, HDMI, DisplayPort, DVI-D, Axial-tech Fan, 0dB Technology, Auto-Extreme) DUAL-RTX2060-O12G-EVO",345.99,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o12g-evo/p/N82E16814126548?Description=graphics card&cm_re=graphics_card-_-14-126-548-_-Product
